]0;IPython: MlProject/fashionmnisttrain_y:  [[0. 0. 1. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 1.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 1. 0. 0.]]
train_y.shape:  (60000, 10)
WARNING:tensorflow:From /home/saichanda/Desktop/Sem2/ML/MlProject/fashionmnist/simple_mlp_tensorflow.py:84: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See tf.nn.softmax_cross_entropy_with_logits_v2.

running init

None
running w_1

(785, 256)
running w_2

(256, 10)
Epoch = 70, train accuracy = 51.21%, test accuracy = 51.38%
Epoch = 71, train accuracy = 44.46%, test accuracy = 44.47%
Epoch = 72, train accuracy = 43.55%, test accuracy = 43.58%
Epoch = 73, train accuracy = 50.42%, test accuracy = 50.69%
Epoch = 74, train accuracy = 43.82%, test accuracy = 43.77%
Epoch = 75, train accuracy = 44.30%, test accuracy = 44.19%
Epoch = 76, train accuracy = 45.17%, test accuracy = 44.99%
Epoch = 77, train accuracy = 45.01%, test accuracy = 44.87%
Epoch = 78, train accuracy = 45.42%, test accuracy = 45.17%
Epoch = 79, train accuracy = 39.68%, test accuracy = 39.82%
Epoch = 80, train accuracy = 45.46%, test accuracy = 45.37%
Epoch = 81, train accuracy = 37.39%, test accuracy = 37.15%
Epoch = 82, train accuracy = 51.04%, test accuracy = 50.41%
Epoch = 83, train accuracy = 44.82%, test accuracy = 44.82%
Epoch = 84, train accuracy = 48.47%, test accuracy = 48.26%
Epoch = 85, train accuracy = 52.59%, test accuracy = 52.77%
Epoch = 86, train accuracy = 47.01%, test accuracy = 47.16%
Epoch = 87, train accuracy = 48.41%, test accuracy = 48.16%
Epoch = 88, train accuracy = 41.28%, test accuracy = 41.29%
Epoch = 89, train accuracy = 51.83%, test accuracy = 52.05%
Epoch = 90, train accuracy = 53.15%, test accuracy = 53.31%
Epoch = 91, train accuracy = 49.80%, test accuracy = 49.75%
Epoch = 92, train accuracy = 48.65%, test accuracy = 48.66%
Epoch = 93, train accuracy = 52.16%, test accuracy = 52.30%
Epoch = 94, train accuracy = 53.55%, test accuracy = 53.62%
Epoch = 95, train accuracy = 52.82%, test accuracy = 53.02%
Epoch = 96, train accuracy = 50.20%, test accuracy = 50.18%
Epoch = 97, train accuracy = 49.48%, test accuracy = 49.50%
Epoch = 98, train accuracy = 52.17%, test accuracy = 52.38%
Epoch = 99, train accuracy = 45.36%, test accuracy = 45.39%
Epoch = 100, train accuracy = 42.29%, test accuracy = 42.21%
